genus,ST1,ST2,ST3,ST4,ST5,ST6,ST7,ST8,ST9,ST10,ST11,ST12,ST13,ST14,ST15,ST16,ST17,ST18,ST19,ST20,ST21,ST22,ST23,ST24,ST25,ST26,ST27,ST28,ST29,ST30
Rhodospirillaceae bacterium (no genus in NCBI),0,0,0,0,1.52E-05,0,0,0,0,0,2.69E-05,1.17E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ancylomarina,0,0,0,0,0,0,0,4.59E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.96E-05
Unclassified Longimicrobiales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.61E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidia bacterium (no genus in NCBI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.61E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Hyphomicrobiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99E-05,0,0,1.62E-06,0,0,0,0,6.15E-06,0,0,0,0,0,0,0
Porticoccus,0,0,0,0,0,0,0,0,0,0,0,5.83E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Balneolia,0,0,0,0,0,0,0,0,0,0,0,5.83E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Alcaligenaceae,0,0,0,1.17E-05,0,1.75E-05,0,2.30E-06,0,0,0,0,0,0,0,0,0,3.24E-06,0,3.97E-06,1.47E-05,0,0,0,4.99E-06,0,0,0,0,0
Unclassified Candidatus Vogelbacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.89E-05,0,0,0,0,0,0,0,0,0
Blastochloris,0,0,6.07E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eilatimonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.91E-06,0,0,0,0,5.60E-05,0,0,0,0,0,0,0,0
Unclassified Anaerolineae,0,0,0,1.17E-05,0,0,0,0,0,0,0,0,0,0,4.99E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Candidatus Aminicenantes,1.05E-05,0,0,0,0,3.49E-05,0,0,0,0,0,1.17E-05,0,0,0,0,0,0,0,0,0,0,0,6.58E-06,0,0,0,0,0,0
Unclassified Candidatus Zambryskibacteria,0,0,0,0,0,0,0,2.07E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.30E-05,0,0,0,0,0,0,0
Marinisporobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.90E-05,0,0,0,0,0,0,0,4.99E-06,0,0,0,0,0
Unclassified Caulobacteraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.41E-05,0,0,0
Plebeiobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.96E-05
Thalassospira,0,0,0,0,0,0,0,0,0,0,0,0,1.72E-05,0,0,0,0,0,0,0,0,0,4.92E-05,0,0,0,0,0,0,0
Leisingera,0,0,0,0,0,3.49E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.99E-06,2.16E-05,0,0,0,0
Unclassified Ilumatobacteraceae,0,0,5.52E-06,0,0,3.49E-05,0,0,0,0,0,0,0,6.26E-06,0,0,0,3.24E-06,2.04E-06,0,0,0,1.23E-05,0,4.99E-06,0,0,0,0,0
Unclassified Marinobacteraceae,0,0,0,0,0,0,0,0,0,0,0,6.99E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Sedimentisphaeraceae,0,0,0,0,0,0,7.00E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salmonella,0,0,0,1.17E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.73E-05,0,0,0,0,0,0,2.23E-05,0
Sunxiuqinia,5.24E-06,0,1.10E-05,0,0,0,0,0,0,5.70E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Aphanizomenonaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.36E-05,0,0,0,0,0,0,0,0,0
Unclassified Roseivirgaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.38E-05,0,0,0,0,0,0,0
