"genus","B","Group","Class"
"Lutimaribacter",0.864769753096776,"IT","Generalist"
"Spirochaetales bacterium (no genus in NCBI)",0.806984083691028,"IT","Generalist"
"Cohaesibacter",0.862048303294184,"IT","Generalist"
"Unclassified Spirochaetales",0.84191819149223,"IT","Generalist"
"Unclassified Pseudomonadota",0.716832283848287,"IT","Generalist"
"Unclassified Oceanospirillales",0.703468959650505,"IT","Generalist"
"Unclassified Gammaproteobacteria",0.848806594848317,"IT","Generalist"
"Unclassified Bacteria",0.965697356256431,"IT","Generalist"
"Methylobacter",0.334116643295429,"ST","Intermediate"
"Unclassified Micrococcales",0.0851045783139557,"ST","Specialist"
"Unclassified Candidatus Cloacimonadota",0.164529889920538,"ST","Intermediate"
"Zobellella",0.370626254555575,"ST","Intermediate"
"Unclassified Desulfobulbia",0.129692013204038,"ST","Intermediate"
"Spongiibacter",0.13206295227133,"ST","Intermediate"
"Luteibacter",0.0904401468760764,"ST","Specialist"
"Haemophilus",0.316642201249153,"ST","Intermediate"
"Unclassified Budviciaceae",0.0865291175971071,"ST","Specialist"
"Planctomycetaceae bacterium (no genus in NCBI)",0.0374855414135131,"ST","Specialist"
"Unclassified Erwiniaceae",0.386055416411987,"ST","Intermediate"
"Unclassified Clostridiaceae",0.0961820027856686,"ST","Specialist"
"Unclassified Candidatus Delongbacteria",0.0619069084769401,"ST","Specialist"
"Unclassified Erysipelotrichaceae",0.0803925346131579,"ST","Specialist"
"Unclassified Chitinibacteraceae",0.346369074097465,"ST","Intermediate"
"Pseudovibrio",0.228016355637864,"ST","Intermediate"
"Caldilineaceae bacterium (no genus in NCBI)",0.0673107943237191,"ST","Specialist"
"Unclassified Neisseriales",0.165750307286775,"ST","Intermediate"
"Marinicauda",0.148810096915773,"ST","Intermediate"
"Cognatishimia",0.0955508307054102,"ST","Specialist"
"Unclassified Microcystaceae",0.0651439796130769,"ST","Specialist"
"Unclassified Acholeplasmatales",0.0904010460403323,"ST","Specialist"
"Methylobacillus",0,"ST","Specialist"
"Unclassified Victivallales",0.161871459921199,"ST","Intermediate"
"Unclassified Ilumatobacteraceae",0.0773618739297249,"ST","Specialist"
"Unclassified Candidatus Pelagibacterales",0.0929285997934601,"ST","Specialist"
"Unclassified Chitinophagales",0.234256050091143,"ST","Intermediate"
"Gilvibacter",0.244123000644028,"ST","Intermediate"
"Colwellia",0.0905995509225293,"ST","Specialist"
"Unclassified Yersiniaceae",0.433045198161104,"ST","Intermediate"
"Thioalkalivibrio",0.0633655548093388,"ST","Specialist"
"Parvularcula",0.0464389785117902,"ST","Specialist"
"Fusibacter",0.0922301929238787,"ST","Specialist"
"Nitratireductor",0.059972533401705,"ST","Specialist"
"Picosynechococcus",0.067622476804907,"ST","Specialist"
"Unclassified Candidatus Saccharibacteria",0.16347221655449,"ST","Intermediate"
"Unclassified Bacteroidaceae",0.181535761451358,"ST","Intermediate"
"Proteus",0.422291462078674,"ST","Intermediate"
"Unclassified Spirochaetaceae",0.1902828874713,"ST","Intermediate"
"Desulfotignum",0.269955350223447,"ST","Intermediate"
"Unclassified Chloroflexaceae",0.190751640470798,"ST","Intermediate"
"Fibrobacter",0.0426504792830662,"ST","Specialist"
"Unclassified Longimicrobiales",0,"ST","Specialist"
"Unclassified Ignavibacteriales",0.159507658505437,"ST","Intermediate"
"Unclassified Candidatus Aminicenantes",0.0582169200365859,"ST","Specialist"
"Enterovibrio",0.29232190554028,"ST","Intermediate"
"Citrobacter",0.0231492028413793,"ST","Specialist"
"Unclassified Aeromonadales",0.0412793684211894,"ST","Specialist"
"Unclassified Desulfovibrionia",0.373687732705544,"ST","Intermediate"
"Unclassified Pasteurellales",0.257273152462295,"ST","Intermediate"
"Unclassified Candidatus Cloacimonadaceae",0.0281036466111692,"ST","Specialist"
"Cyclobacteriaceae bacterium (no genus in NCBI)",0.0514643204068967,"ST","Specialist"
"Sinorhizobium",0.065119222510085,"ST","Specialist"
"Unclassified Nitrosomonadales",0.296255178490672,"ST","Intermediate"
