"Sample","Group","Habitat","Phylum_plot","Relative_abundance"
"ST-C5","ST-C","Subtidal Control","Bacillota",0.00980297933685728
"ST-C5","ST-C","Subtidal Control","Bacteroidota",0.0382828768220407
"ST-C5","ST-C","Subtidal Control","Campylobacterota",0.025884991190133
"ST-C5","ST-C","Subtidal Control","Cyanobacteriota",0.00331571359923114
"ST-C5","ST-C","Subtidal Control","Ignavibacteriota",0.000752843184366491
"ST-C5","ST-C","Subtidal Control","Others",0.168492711837258
"ST-C5","ST-C","Subtidal Control","Planctomycetota",0.0429280794489829
"ST-C5","ST-C","Subtidal Control","Pseudomonadota",0.668204388915585
"ST-C5","ST-C","Subtidal Control","Spirochaetota",0.0186288643280474
"ST-C5","ST-C","Subtidal Control","Thermodesulfobacteriota",0.0205830530193817
"ST-C6","ST-C","Subtidal Control","Actinomycetota",0.00422146093490993
"ST-C6","ST-C","Subtidal Control","Bacillota",0.00658636313404796
"ST-C6","ST-C","Subtidal Control","Bacteroidota",0.240048624157365
"ST-C6","ST-C","Subtidal Control","Campylobacterota",0.0507017349983424
"ST-C6","ST-C","Subtidal Control","Cyanobacteriota",0.00738203116366449
"ST-C6","ST-C","Subtidal Control","Ignavibacteriota",2.21018897115703e-05
"ST-C6","ST-C","Subtidal Control","Others",0.231450989059565
"ST-C6","ST-C","Subtidal Control","Planctomycetota",0.080915018234059
"ST-C6","ST-C","Subtidal Control","Pseudomonadota",0.280075146425019
"ST-C6","ST-C","Subtidal Control","Spirochaetota",0.069908277157697
"ST-C6","ST-C","Subtidal Control","Thermodesulfobacteriota",0.0286882528456183
"ST-H1","ST-H","Subtidal Heat","Actinomycetota",0.00204323676886765
"ST-H1","ST-H","Subtidal Heat","Bacillota",0.0026068882913139
"ST-H1","ST-H","Subtidal Heat","Bacteroidota",0.0131048978968753
"ST-H1","ST-H","Subtidal Heat","Campylobacterota",0.0139151469603917
"ST-H1","ST-H","Subtidal Heat","Cyanobacteriota",0.00193755210840898
"ST-H1","ST-H","Subtidal Heat","Ignavibacteriota",0.000117427400509635
"ST-H1","ST-H","Subtidal Heat","Others",0.130133045244777
"ST-H1","ST-H","Subtidal Heat","Planctomycetota",0.0314822860766331
"ST-H1","ST-H","Subtidal Heat","Pseudomonadota",0.782054744654118
"ST-H1","ST-H","Subtidal Heat","Spirochaetota",0.01511290644559
"ST-H1","ST-H","Subtidal Heat","Thermodesulfobacteriota",0.00749186815251471
"ST-H2","ST-H","Subtidal Heat","Actinomycetota",0.00193239308095922
"ST-H2","ST-H","Subtidal Heat","Bacillota",0.0132046860532213
"ST-H2","ST-H","Subtidal Heat","Bacteroidota",0.184691152591956
"ST-H2","ST-H","Subtidal Heat","Campylobacterota",0.298675505575759
"ST-H2","ST-H","Subtidal Heat","Cyanobacteriota",0.000684389216173057
"ST-H2","ST-H","Subtidal Heat","Ignavibacteriota",0.028636991908104
"ST-H2","ST-H","Subtidal Heat","Others",0.220910103463546
"ST-H2","ST-H","Subtidal Heat","Planctomycetota",0.0298313181873079
"ST-H2","ST-H","Subtidal Heat","Pseudomonadota",0.152095438747165
"ST-H2","ST-H","Subtidal Heat","Spirochaetota",0.0386210228263933
"ST-H2","ST-H","Subtidal Heat","Thermodesulfobacteriota",0.0307169983494142
