"","Bn","P.val","P.adj","Below.LOQ","Taxon","class"
"Eudoraea",0.0293000542593597,2.92474712091307e-14,6.88706519988784e-14,"Y","Eudoraea","Specialist"
"Euhalothece",0.0175438596491228,1.1144429423005e-14,4.08331894058903e-14,"Y","Euhalothece","Specialist"
"Exiguobacterium",0.140350877192982,1.26255652841055e-10,1.74434657620522e-10,"Y","Exiguobacterium","Generalist"
"Exilibacterium",0.344627069364504,1.87371519883048e-05,2.04081227363701e-05,"Y","Exilibacterium","Generalist"
"Ferrimonas",0.390677284020457,0.000148083178073558,0.000157909419226285,"Y","Ferrimonas","Generalist"
"Fibrobacter",0.0910918701559813,3.63760861244096e-12,5.62846197465526e-12,"Y","Fibrobacter","Generalist"
"Filomicrobium",0.0242914979757085,1.94253306387918e-14,5.42487892229675e-14,"Y","Filomicrobium","Specialist"
"Fischerella",0.0280701754385965,2.64580891738651e-14,6.394619969198e-14,"Y","Fischerella","Specialist"
"Flagellimonas",0.0175438596491228,1.1144429423005e-14,4.08331894058903e-14,"Y","Flagellimonas","Specialist"
"Flavimaricola",0.0175438596491228,1.1144429423005e-14,4.08331894058903e-14,"Y","Flavimaricola","Specialist"
"Flavitalea",0.0175438596491228,1.1144429423005e-14,4.08331894058903e-14,"Y","Flavitalea","Specialist"
"Flavivirga",0.0224561403508772,1.6708824637973e-14,5.06997833296945e-14,"Y","Flavivirga","Specialist"
"Flavobacteriaceae bacterium (no genus in NCBI)",0.126543519967084,4.7976378558571e-11,6.83458207770622e-11,"Y","Flavobacteriaceae bacterium (no genus in NCBI)","Generalist"
"Flavobacteriales bacterium (no genus in NCBI)",0.049284815928034,1.45668398255309e-13,2.65801300402118e-13,"Y","Flavobacteriales bacterium (no genus in NCBI)","Generalist"
"Flavobacterium",0.0849122807017543,2.28806543626263e-12,3.61356541313202e-12,"Y","Flavobacterium","Generalist"
"Francisella",0.509701933743863,0.0110770210428484,0.0114006194103922,"Y","Francisella","Generalist"
"Fuerstiella",0.0175438596491228,1.1144429423005e-14,4.08331894058903e-14,"Y","Fuerstiella","Specialist"
"Fulvivirga",0.0596964853077576,3.30468533322626e-13,5.72229067152222e-13,"Y","Fulvivirga","Generalist"
"Fulvivirgaceae bacterium (no genus in NCBI)",0.0654286364270708,5.16183265207486e-13,8.72368765553611e-13,"Y","Fulvivirgaceae bacterium (no genus in NCBI)","Generalist"
"Fusibacter",0.125739722440429,4.53196829018297e-11,6.48637961532437e-11,"Y","Fusibacter","Generalist"
"Fusobacterium",0.031578947368421,3.52011512952091e-14,7.80732556571709e-14,"Y","Fusobacterium","Specialist"
"Gallibacterium",0.104979276670641,1.01557687103038e-11,1.53004673332867e-11,"Y","Gallibacterium","Generalist"
"Gammaproteobacteria bacterium (no genus in NCBI)",0.396123320528072,0.00018631441052361,0.000198216027920588,"Y","Gammaproteobacteria bacterium (no genus in NCBI)","Generalist"
"Gemmatimonadaceae bacterium (no genus in NCBI)",0.0175438596491228,1.1144429423005e-14,4.08331894058903e-14,"Y","Gemmatimonadaceae bacterium (no genus in NCBI)","Specialist"
"Gemmatimonadota bacterium (no genus in NCBI)",0.0247495020641826,2.01683026228571e-14,5.58969272337543e-14,"Y","Gemmatimonadota bacterium (no genus in NCBI)","Specialist"
"Gemmatimonas",0.0205720680688588,1.43093734999769e-14,4.7704514979038e-14,"Y","Gemmatimonas","Specialist"
"Geomonas",0.317907977490896,5.09265073535476e-06,5.70277270609408e-06,"Y","Geomonas","Generalist"
"Ghiorsea",0.0175438596491228,1.1144429423005e-14,4.08331894058903e-14,"Y","Ghiorsea","Specialist"
"Gilvibacter",0.28133971291866,7.56743029763494e-07,8.65389032788215e-07,"Y","Gilvibacter","Generalist"
"Gimesia",0.0526315789473683,1.8979465081694e-13,3.39554492477185e-13,"Y","Gimesia","Generalist"
"Gottschalkiaceae bacterium (no genus in NCBI)",0.0175438596491228,1.1144429423005e-14,4.08331894058903e-14,"Y","Gottschalkiaceae bacterium (no genus in NCBI)","Specialist"
"Haemophilus",0.169598116697495,9.15558401910972e-10,1.19126632975916e-09,"Y","Haemophilus","Generalist"
