ko,IT1,IT10,IT11,IT12,IT13,IT14,IT15,IT16,IT17,IT18,IT19,IT-C1,IT-H1,IT2,IT21,IT22,IT23,IT24,IT25,IT26,IT27,IT28,IT29,IT-C2,IT-H2,IT3,IT-C3,IT-H3,IT-C4,IT-H4,IT5,IT-C5,IT-H5,IT6,IT-C6,IT-H6,IT7,IT8,IT9,ST1,ST10,ST11,ST12,ST13,ST14,ST15,ST16,ST17,ST18,ST19,ST-C1,ST-H1,ST2,ST20,ST21,ST22,ST23,ST24,ST25,ST26,ST27,ST28,ST29,ST-C2,ST-H2,ST3,ST30,ST-C3,ST-H3,ST4,ST-C4,ST-H4,ST5,ST-C5,ST-H5,ST6,ST-C6,ST-H6,ST7,ST8,ST9
K12526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
K12527,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,4,0,0,0,0,0,0
K12528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,3,0,0,0,0,0,0
K12529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
K12536,0,4,2,3,5,16,2,0,4,2,4,0,0,6,2,0,94,0,7,0,0,4,2,4,0,0,1,2,0,2,5,0,0,2,0,1,5,0,3,27,21,55,16,48,10,6,144,41,3,6,10,16,25,2,37,28,7,14,151,126,226,7,5,6,2,57,78,0,2,62,1,4,18,12,2,2,0,0,2,0,9
K12537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K12539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K12541,2,0,0,1,1,0,0,2,1,2,3,0,2,1,1,41,564,7,4,2,0,0,0,0,0,0,0,0,0,0,5,20,13,3,47,2,0,6,0,1,0,1,1,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0,6,12,0,0,658,0,0,14,0,0,4,10,0,0,0,0,0,0
K12542,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,15,99,0,0,0,0,0,0,0,10,2,0,0,0,0,4,7,0,0,40,4,0,0,0,1,2,1,2,3,0,0,11,4,0,0,0,8,0,0,6,0,1,0,16,8,26,0,0,0,4,6,6,408,2,4,2,0,2,0,10,0,0,0,0,0,2
K12543,0,0,0,0,0,2,0,2,0,0,0,0,6,0,0,15,106,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,25,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,2,2,0,529,0,0,2,0,0,0,8,0,12,0,0,0,0
K12548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K12549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
